Energy (keV),70.txt
37.74375,9550.47636
37.8984375,9508.839056
38.053125,9466.157034
38.2078125,9422.44661
38.3625,9378.077304
38.5171875,9332.676183
38.671875,9285.856769
38.8265625,9237.950225
38.98125,9189.238844
39.1359375,9139.971709
39.290625,9090.364389
39.4453125,9040.469052
39.6,8990.300351
39.7546875,8940.320979
39.909375,8890.958933
40.0640625,8842.322832
40.21875,8794.556383
40.3734375,8747.606717
40.528125,8701.403572
40.6828125,8656.017975
40.8375,8611.432493
40.9921875,8567.529108
41.146875,8524.117188
41.3015625,8481.346812
41.45625,8439.07442
41.6109375,8395.033873
41.765625,8348.06361
41.9203125,8308.885979
42.075,8262.912642
42.2296875,8218.300772
42.384375,8173.100314
42.5390625,8127.429635
42.69375,8081.433828
42.8484375,8035.109414
43.003125,7988.395767
43.1578125,7941.231612
43.3125,7893.499303
43.4671875,7845.242565
43.621875,7796.59118
43.7765625,7747.619803
43.93125,7698.45173
44.0859375,7649.229339
44.240625,7600.093663
44.3953125,7550.509109
44.55,7499.579766
44.7046875,7449.724505
44.859375,7404.669141
45.0140625,7351.303413
45.16875,7302.979945
45.3234375,7253.548604
45.478125,7204.118729
45.6328125,7154.710603
45.7875,7105.365815
45.9421875,7056.015385
46.096875,7006.572294
46.2515625,6957.016288
46.40625,6907.302708
46.5609375,6857.463967
46.715625,6807.554179
46.8703125,6757.581741
47.025,6707.586024
47.1796875,6657.616102
47.334375,6607.71609
47.4890625,6557.949782
47.64375,6508.391965
47.7984375,6459.042863
47.953125,6409.885943
48.1078125,6360.928707
48.2625,6312.147185
48.4171875,6263.576252
48.571875,6215.242505
48.7265625,6167.103728
48.88125,6119.116899
49.0359375,6071.252886
49.190625,6023.491901
49.3453125,5975.825727
49.5,5928.254578
49.6546875,5880.725418
49.809375,5833.191401
49.9640625,5785.650914
50.11875,5738.101606
50.2734375,5690.551882
50.428125,5643.007877
50.5828125,5595.462604
50.7375,5547.914812
50.8921875,5500.3817
51.046875,5452.893116
51.2015625,5405.48588
51.35625,5358.207848
51.5109375,5311.070024
51.665625,5264.069627
51.8203125,5217.216409
51.975,5170.504125
52.1296875,5123.949969
52.284375,5077.569526
